District,Median Income,Latitude,Longitude,jowar,bajra,maize,barley,small millets,ragi,ahrar,moong,masur,urd,peas,khesari,other pulses,gram products,besan,other pulse products,Cluster
Kupwara,-0.08515098300000001,3.45261786,7.42546136,-0.340805136,-0.406093059,0.303087068,-0.207659596,-0.166393773,-0.33935860799999995,0.8468659140000001,0.710652614,0.12196879599999999,-0.7389758000000001,-0.32796084600000003,-0.311892835,1.493909231,-0.663258617,-1.926201186,0.230022875,0
Baramula,0.24471164899999998,3.41990498,7.434994959999999,-0.340805136,1.862526102,0.619135075,-0.207659596,-0.166393773,-0.33935860799999995,-0.648387983,1.006448618,0.12925344800000002,-0.410846826,0.068042685,0.45814004,1.557105793,2.095359871,2.538402015,0.405275714,1
Srinagar,1.114334323,3.40836708,7.47972825,-0.340805136,-0.406093059,-0.275561858,-0.207659596,-0.166393773,-0.33935860799999995,-1.053252249,-0.553013989,-0.641921926,-0.7117497709999999,-0.096787359,1.060169777,0.195996773,0.742888435,1.409284316,1.560911856,2
Badgam,-0.123589715,3.4011779299999993,7.47746684,-0.340805136,-0.406093059,0.48245577100000003,-0.207659596,-0.166393773,-0.33935860799999995,-1.848862765,-0.38239621799999995,-0.555091814,-1.614833107,-0.368826261,-0.6023452420000001,0.21645884399999998,0.847285085,-1.926201186,-0.29061620000000005,0
Pulwama,0.31098556899999996,3.3871611700000006,7.489456920000001,-0.340805136,-0.406093059,-0.495215578,1.6594655090000001,-0.166393773,-0.33935860799999995,-1.848862765,0.035115977,-1.7483094030000002,-1.614833107,-1.084589471,-0.6023452420000001,1.001649998,-0.663258617,-1.926201186,-0.8703231229999999,2
Anantnag,0.192346235,3.37311255,7.51487007,-0.340805136,-0.406093059,1.90556598,-0.207659596,-0.166393773,-0.33935860799999995,-1.848862765,0.108308036,0.772985667,-1.614833107,-1.084589471,-0.6023452420000001,0.392760991,0.847285085,-1.926201186,0.25955489,0
Leh,0.9788995429999999,3.41663838,7.74966975,-0.340805136,-0.406093059,-0.495215578,-0.207659596,-0.166393773,-0.33935860799999995,-1.109366983,-0.391894474,-0.792549051,-1.05353559,0.197928963,0.009009186,0.358415029,-0.663258617,-1.926201186,0.28909072199999997,0
Kargil,0.6045337239999999,3.4558448900000003,7.6099508,0.36032194700000003,0.054206480999999994,-0.495215578,1.6594655090000001,-0.166393773,-0.33935860799999995,-1.848862765,0.42172457700000004,0.192017413,-1.614833107,0.034068178,-0.6023452420000001,0.700379228,0.847285085,1.32334523,0.200779625,2
Doda,-0.14412565800000002,3.31457497,7.554804909999999,3.043311596,-0.406093059,1.355615707,-0.207659596,-0.166393773,-0.33935860799999995,-1.848862765,-0.6994956920000001,-0.7677464820000001,0.031442903,-0.19554444199999998,1.1403691999999999,0.503134966,0.092013234,-0.7591805309999999,-0.346951778,2
Udhampur,-0.36983817399999996,3.29140588,7.514296520000001,-0.340805136,-0.406093059,1.931943079,2.126246785,-0.166393773,-0.33935860799999995,0.552174811,-0.62800567,-0.77048603,-0.11275109900000001,-0.34329514899999997,-0.021440427999999997,0.1967602,0.659788435,-1.00609025,-0.378063204,2
Punch,-0.057842425,3.35371751,7.3738351799999995,-0.340805136,-0.406093059,1.9431260119999998,-0.207659596,-0.166393773,-0.33935860799999995,-0.488627063,-0.30284574,-0.185541948,0.175229566,0.926073316,-0.6023452420000001,0.7149262470000001,-0.663258617,-0.814143851,-0.089430027,2
Rajauri,0.20342210600000002,3.33786445,7.4288004700000005,-0.340805136,0.35011332799999995,2.1490282130000002,-0.207659596,-0.166393773,-0.33935860799999995,-0.5133284779999999,-0.30677042,-0.234568345,0.045644943,0.141929125,2.302178827,0.822416606,0.036485187999999995,-0.761037258,-0.340112264,1
Jammu,2.076776791,3.2726601600000005,7.485702590000002,-0.340805136,-0.406093059,0.259841726,-0.207659596,-0.166393773,-0.33935860799999995,-0.622644988,-0.6698473979999999,-0.740063768,0.259068894,-0.36359038299999996,1.1403691999999999,0.602222291,0.482429669,-0.583292564,-0.33940555,2
Kathua,0.780404709,3.23864799,7.55172688,-0.340805136,-0.406093059,1.219926581,-0.207659596,-0.166393773,-0.33935860799999995,-0.9290401770000001,-0.8187910209999999,-0.759030779,0.481314485,-0.455210801,-0.6023452420000001,0.237263152,0.092013234,-0.766944292,-0.308400663,2
Chamba,-0.08182806599999999,3.2553363300000004,7.612580830000001,-0.340805136,-0.406093059,1.076867293,-0.207659596,-0.166393773,-0.33935860799999995,-0.907731411,-0.776476189,-0.7028606209999999,0.702090619,0.197928963,1.611957511,0.515125536,0.140262148,-0.610519088,-0.12055507800000001,2
Kangra,0.274834445,3.2099803100000006,7.626910059999999,-0.340805136,-0.023274793,0.664489265,4.460153167,-0.166393773,-0.33935860799999995,-0.772509078,-0.7306561159999999,-0.512683031,0.20180826899999998,0.182261557,0.559464386,0.19479790800000002,0.211882055,-0.690814202,-0.241174585,2
Lahul,0.27995491100000003,3.2619210700000005,7.7378378900000016,-0.340805136,-0.406093059,-0.495215578,1.502559077,-0.166393773,-0.33935860799999995,-1.163784109,-0.7412734120000001,-0.383617065,0.238403277,-0.763959863,-0.6023452420000001,0.670606715,-0.663258617,-1.092329811,-0.8703231229999999,2
